feature_name,importance,cumsum_importance
acc_y_rms,0.09821507817082945,0.09821507817082945
gyr_energy_high,0.08161776209384383,0.17983284026467328
acc_energy_mid,0.061288324103879785,0.24112116436855308
gyr_magnitude_mean,0.06073586865597066,0.3018570330245237
acc_y_mean,0.058910459090254844,0.36076749211477854
gyr_z_rms,0.0486924263417426,0.40945991845652113
gyr_z_std,0.039913434265174706,0.4493733527216958
acc_y_min,0.03913562974451251,0.48850898246620833
acc_magnitude_mean,0.03670432735654208,0.5252133098227504
acc_magnitude_std,0.0352868724940343,0.5605001823167847
acc_y_max,0.03243714129890716,0.5929373236156918
acc_z_rms,0.03141011298916318,0.624347436604855
acc_x_max,0.03127081604844919,0.6556182526533042
acc_energy_high,0.030582608854162408,0.6862008615074666
acc_z_mean,0.029908100437354125,0.7161089619448208
acc_x_range,0.02075319513407932,0.7368621570789001
acc_y_std,0.02029581684204892,0.7571579739209491
acc_sma,0.01696336894549591,0.774121342866445
acc_x_std,0.016568406326293382,0.7906897491927384
gyr_x_rms,0.015204466246232805,0.8058942154389712
acc_z_min,0.014022049480401543,0.8199162649193728
gyr_z_range,0.013345827575411272,0.833262092494784
gyr_x_z_corr,0.013336925882324968,0.8465990183771089
gyr_x_min,0.012023977672430465,0.8586229960495394
acc_x_rms,0.011737986964177629,0.870360983013717
gyr_energy_low,0.009965975263902117,0.8803269582776191
gyr_energy_mid,0.009770040375070736,0.8900969986526899
acc_x_mean,0.00943441488062091,0.8995314135333108
acc_y_zcr,0.009407751006981263,0.908939164540292
gyr_y_std,0.00829033013400061,0.9172294946742926
acc_gyr_magnitude_ratio,0.007570368152770544,0.9247998628270632
acc_z_std,0.007438251554997593,0.9322381143820607
gyr_x_max,0.0063087508122132326,0.938546865194274
acc_spectral_entropy,0.006094138143477006,0.944641003337751
acc_x_z_corr,0.005985152887673354,0.9506261562254243
gyr_z_min,0.005172977126771915,0.9557991333521962
acc_magnitude_max,0.004111838834758401,0.9599109721869546
gyr_y_range,0.003928519145813879,0.9638394913327685
gyr_magnitude_std,0.0038204415188469493,0.9676599328516154
acc_y_range,0.003721080608196082,0.9713810134598115
acc_energy_low,0.0034711682432368384,0.9748521817030483
acc_magnitude_kurtosis,0.003349902891194765,0.9782020845942431
gyr_y_max,0.00315014813477573,0.9813522327290188
gyr_z_max,0.0030393207101879786,0.9843915534392068
acc_x_y_corr,0.002642518508485333,0.9870340719476921
acc_x_min,0.002622802011343296,0.9896568739590355
acc_y_z_corr,0.0016424093017203415,0.9912992832607558
acc_magnitude_skewness,0.0015590453895174927,0.9928583286502732
gyr_z_mean,0.0014872561359345498,0.9943455847862078
gyr_x_range,0.0010033003995218823,0.9953488851857297
gyr_x_std,0.0007950989394807768,0.9961439841252105
gyr_y_min,0.0006586204803700836,0.9968026046055807
gyr_y_mean,0.000603590633494434,0.9974061952390751
acc_x_zcr,0.0005887452871969587,0.9979949405262721
acc_dominant_freq,0.00040081440615222957,0.9983957549324244
gyr_spectral_entropy,0.0003856233762775818,0.998781378308702
gyr_y_rms,0.0003367231369059896,0.999118101445608
acc_z_max,0.00027392931435554297,0.9993920307599635
gyr_y_z_corr,0.000263366374498401,0.9996553971344619
acc_z_range,0.00017547230227345497,0.9998308694367354
gyr_x_mean,0.0001087073360469472,0.9999395767727823
gyr_dominant_freq,6.0423227217797136e-05,1.0000000000000002
acc_z_zcr,0.0,1.0000000000000002
gyr_x_y_corr,0.0,1.0000000000000002
